Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_PUSH_RESET","SW_Push_1P1T_NO_CK_KMR2",-142.011400,-27.965400,0.000000,bottom
"C1","CP","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",137.121201,-99.484841,0.000000,top
"C2","CP","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",137.121201,-103.157521,0.000000,top
"C3","CP","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",137.121201,-88.466801,0.000000,top
"C4","CP","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",137.121201,-92.139481,0.000000,top
"C5","CP","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",137.121201,-106.830201,0.000000,top
"C6","CP","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",137.121201,-95.812161,0.000000,top
"K11","KEYSW_RGB","Hybrid_PCB_150H_hotswap_diode_RGB_rot",19.050500,-23.812500,0.000000,top
"K12","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",42.862500,-23.812500,0.000000,top
"K13","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",61.912500,-23.812500,0.000000,top
"K14","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",80.962500,-23.812500,0.000000,top
"K15","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",100.012500,-23.812500,0.000000,top
"K16","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",119.062500,-23.812500,0.000000,top
"K21","KEYSW_RGB","Hybrid_PCB_150H_hotswap_diode_RGB_rot",19.050500,-42.862500,0.000000,top
"K22","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",42.862500,-42.862500,0.000000,top
"K23","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",61.912500,-42.862500,0.000000,top
"K24","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",80.962500,-42.862500,0.000000,top
"K25","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",100.012500,-42.862500,0.000000,top
"K26","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",119.062500,-42.862500,0.000000,top
"K31","KEYSW_RGB","Hybrid_PCB_150H_hotswap_diode_RGB_rot",19.050500,-61.912500,0.000000,top
"K32","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",42.862500,-61.912500,0.000000,top
"K33","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",61.912500,-61.912500,0.000000,top
"K34","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",80.962500,-61.912500,0.000000,top
"K35","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",100.012500,-61.912500,0.000000,top
"K36","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",119.062500,-61.912500,0.000000,top
"K41","KEYSW_RGB","Hybrid_PCB_150H_hotswap_diode_RGB_rot",19.050500,-80.962500,0.000000,top
"K42","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",42.862500,-80.962500,0.000000,top
"K43","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",61.912500,-80.962500,0.000000,top
"K44","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",80.962500,-80.962500,0.000000,top
"K45","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",100.012500,-80.962500,0.000000,top
"K46","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",119.062500,-80.962500,0.000000,top
"K51","KEYSW_RGB","Hybrid_PCB_150H_hotswap_diode_RGB_rot",19.050500,-100.012500,0.000000,top
"K52","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",42.862500,-100.012500,0.000000,top
"K53","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",61.912500,-100.012500,0.000000,top
"K54","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",80.962500,-100.012500,0.000000,top
"K55","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",100.012500,-100.012500,0.000000,top
"K56","KEYSW_RGB","Hybrid_PCB_100H_hotswap_diode_RGB_rot",119.062500,-100.012500,0.000000,top
"K61","KEYSW_RGB","Hybrid_PCB_125H_hotswap_diode_RGB_rot",21.431000,-119.062500,0.000000,top
