"Source:","C:\Users\Vlad\Documents\keyboard project\kicad\ortho_half\left\ortho_half.sch"
"Date:","8/18/2020 9:17:31 PM"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","CP","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~"
"","","C2","CP","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~"
"","","C3","CP","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~"
"","","C4","CP","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~"
"","","C5","CP","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~"
"","","C6","CP","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~"
"","","J1","AudioJack4","Connector:AudioJack4","vladkvit_keyb:TRRS-PJ-320A","~"
"","","J2","Conn_01x01","Connector_Generic:Conn_01x01","vladkvit_keyb:m2.5_hole","~"
"","","J3","Conn_01x01","Connector_Generic:Conn_01x01","vladkvit_keyb:m2.5_hole","~"
"","","J4","Conn_01x01","Connector_Generic:Conn_01x01","vladkvit_keyb:m2.5_hole","~"
"","","J5","Conn_01x01","Connector_Generic:Conn_01x01","vladkvit_keyb:m2.5_hole","~"
"","","J6","Conn_01x01","Connector_Generic:Conn_01x01","vladkvit_keyb:m2.5_hole","~"
"","","J7","Conn_01x01","Connector_Generic:Conn_01x01","vladkvit_keyb:m2.5_hole","~"
"","","J8","Conn_01x01","Connector_Generic:Conn_01x01","vladkvit_keyb:m2.5_hole","~"
"","","J9","Conn_01x01","Connector_Generic:Conn_01x01","vladkvit_keyb:m2.5_hole","~"
"","","K11","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_150H_hotswap_diode_RGB_rot",""
"","","K12","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K13","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K14","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K15","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K16","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K21","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_150H_hotswap_diode_RGB_rot",""
"","","K22","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K23","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K24","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K25","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
