"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C4, C5, C6, ","6","CP","CP","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","Polarized capacitor",""
"K11, K21, K31, K41, K51, ","5","Diode","Diode","vladkvit_keyb:Hybrid_PCB_150H_hotswap_diode_RGB_rot","",""
"K12, K13, K14, K15, K16, K22, K23, K24, K25, K26, K32, K33, K34, K35, K36, K42, K43, K44, K45, K46, K52, K53, K54, K55, K56, ","25","Diode","Diode","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot","",""
"K61, K62, K63, K64, ","4","Diode","Diode","vladkvit_keyb:Hybrid_PCB_125H_hotswap_diode_RGB_rot","",""
"K65, ","1","Diode","Diode","vladkvit_keyb:Hybrid_PCB_200H_hotswap_diode_RGB_rot90B","",""
"K66, ","1","Diode","Diode","vladkvit_keyb:Hybrid_PCB_200H_hotswap_diode_RGB_rot90A","",""
"R1, R2, R4, ","3","R100k","R","Keebio-Parts:Resistor-Hybrid","Resistor symbol for simulation only",""
"R3, R5, ","2","R1k","R","Keebio-Parts:Resistor-Hybrid","Resistor symbol for simulation only",""
"Rext1, ","1","R20k","R","Keebio-Parts:Resistor-Hybrid","Resistor symbol for simulation only",""
"SW1, ","1","SW_PUSH_RESET","SW_PUSH","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","",""
"U2, ","1","IS31FL3733-TQ","IS31FL3733-TQ","Package_QFP:TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm","12x16 LED matrix driver with 8-bit PWM and breathing, TQFP-48",""
