Ref,Val,Package,PosX,PosY,Rot,Side
R4,R100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-209.7024,-79.6798,180,bottom
Rext1,R20k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-211.3534,-88.6968,180,bottom
SW1,SW_PUSH_RESET,SW_Push_1P1T_NO_CK_KMR2,-215.1761,-27.9654,0,bottom
U2,IS31FL3733-TQ,TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm,-216.8271,-82.677,270,bottom
C1,CP,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,215.0618,-85.8012,0,top
C2,CP,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,215.0618,-79.8576,0,top
C3,CP,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,215.0618,-83.8454,0,top
C4,CP,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,215.0618,-81.8388,0,top
C5,CP,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,219.3036,-84.5566,270,top
C6,CP,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,219.3036,-80.7974,90,top
K11A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,238.125,-23.8125,0,top
K12A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,257.175,-23.8125,0,top
K13A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,276.225,-23.8125,0,top
K14A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,295.275,-23.8125,0,top
K15A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,314.325,-23.8125,0,top
K16A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,333.375,-23.8125,0,top
K17A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,352.425,-23.8125,0,top
K21A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,238.125,-42.8625,0,top
K22A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,257.175,-42.8625,0,top
K23A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,276.225,-42.8625,0,top
K24A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,295.275,-42.8625,0,top
K25A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,314.325,-42.8625,0,top
K26A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,333.375,-42.8625,0,top
K27A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,352.425,-42.8625,0,top
K28A,KEYSW_RGB,Hybrid_PCB_150H_hotswap_diode_RGB_rot,376.238,-42.8625,0,top
K31A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,238.125,-61.9125,0,top
K32A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,257.175,-61.9125,0,top
K33A,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,276.225,-61.9125,0,top
